Group,Sample,0.02,0.02244,0.025179,0.028251,0.031698,0.035566,0.039905,0.044774,0.050238,0.056368,0.063246,0.070963,0.079621,0.089337,0.100237,0.112468,0.126191,0.141589,0.158866,0.17825,0.2,0.224404,0.251785,0.282508,0.316979,0.355656,0.399052,0.447744,0.502377,0.563677,0.632456,0.709627,0.796214,0.893367,1.002374,1.124683,1.261915,1.415892,1.588656,1.782502,2,2.244037,2.517851,2.825075,3.169786,3.556559,3.990525,4.477442,5.023773,5.636766,6.324555,7.096268,7.962143,8.933672,10.023745,11.246826,12.619147,14.158916,15.886565,17.825019,20,22.440369,25.178508,28.250751,31.697864,35.565588,39.905246,44.774423,50.237729,56.367659,63.245553,70.962678,79.621434,89.336718,100.237447,112.468265,126.191469,141.589157,158.865647,178.250188,200,224.403691,251.785082,282.507509,316.978638,355.655882,399.052463,447.744228,502.377286,563.676586,632.455532,709.626778,796.214341,893.367184,1002.374467,1124.68265,1261.914689,1415.891569,1588.656469,1782.501876,2000,% explained,Total inequality,Between region inequality,Total sum of squares,Within group sum of squares,Calinski-Harabasz pseudo-F statistic,K,latitude,longitude
1,GS001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066636,0.313733,1.30833,2.7569,4.76408,7.11259,9.45157,11.3385,12.4272,12.4567,11.4437,9.60892,7.31234,4.96496,2.92516,1.3577,0.376243,0.01482,0,0,0,0,0,0,99.7536,59.6117,59.4648,11.4651,33.0127,-0.068706,20,-34.0554,123.269
2,GS002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143453,0.888871,2.06707,3.85465,6.01807,8.33754,10.3655,11.7702,12.2362,11.7024,10.2784,8.29181,6.05895,4.01645,2.3247,1.1429,0.435892,0.066986,0,0,0,0,0,0,0,0,0,0,99.7536,59.6117,59.4648,11.4651,33.0127,-0.068706,20,-34.0425,123.295
3,GS006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.084905,0.612466,1.83139,3.38972,5.39019,7.56157,9.59534,11.1442,11.938,11.7896,10.7217,8.9826,6.86938,4.77522,3.01193,1.59063,0.711165,99.7536,59.6117,59.4648,11.4651,33.0127,-0.068706,20,-33.9354,123.405
4,GS007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032652,0.428828,1.32119,2.6607,4.4149,6.43053,8.48394,10.2399,11.4443,11.8359,11.3616,10.0941,8.2433,6.10299,4.00498,2.13835,0.716271,0.045523,0,0,0,0,0,0,99.7536,59.6117,59.4648,11.4651,33.0127,-0.068706,20,-33.9362,123.483
5,GS008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112149,0.864901,2.21797,3.89418,5.85033,7.86299,9.64669,10.9715,11.5748,11.3651,10.3879,8.79386,6.86336,4.94616,3.02519,1.62284,99.7536,59.6117,59.4648,11.4651,33.0127,-0.068706,20,-33.9427,123.503
6,GS009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.352405,1.27868,2.77772,4.84541,7.2182,9.62263,11.5335,12.6431,12.6742,11.6208,9.69654,7.29511,4.78238,2.62019,0.938979,0.100144,0,0,0,0,0,99.7536,59.6117,59.4648,11.4651,33.0127,-0.068706,20,-33.974,123.5
7,GS010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053072,0.176863,0.558295,1.05727,1.75549,2.64138,3.67913,4.7963,5.94961,7.00262,7.90265,8.54176,8.86552,8.82919,8.42953,7.67519,6.64885,5.40379,4.09761,2.82462,1.72609,0.919083,0.33731,0.128768,99.7536,59.6117,59.4648,11.4651,33.0127,-0.068706,20,-33.9728,123.591
7,GS033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079996,0.212396,0.552774,0.987811,1.61081,2.38794,3.2917,4.28862,5.29401,6.26774,7.09678,7.74551,8.14183,8.25927,8.08128,7.62306,6.90033,5.98828,4.92369,3.82534,2.75691,1.81982,1.08329,0.542457,0.238362,99.7536,59.6117,59.4648,11.4651,33.0127,-0.068706,20,-34.2512,123.539
8,GS011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059831,0.367169,0.826565,1.48765,2.31566,3.31079,4.38936,5.50721,6.56164,7.46819,8.15299,8.54215,8.60634,8.33911,7.76084,6.93338,5.92073,4.80476,3.67124,2.56755,1.59078,0.700732,0.115341,0,0,0,0,0,99.7536,59.6117,59.4648,11.4651,33.0127,-0.068706,20,-34.0375,123.49
9,GS012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.289451,1.09167,2.13538,3.61268,5.38053,7.27931,9.06483,10.5105,11.3315,11.3913,10.6631,9.24527,7.37919,5.42582,3.3707,1.82879,99.7536,59.6117,59.4648,11.4651,33.0127,-0.068706,20,-33.9935,123.393
10,GS014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181188,0.635298,1.32595,2.25191,3.40239,4.70153,6.0525,7.34762,8.4331,9.21837,9.58326,9.50029,8.96887,8.0419,6.81216,5.41476,3.93997,2.5522,1.32746,0.309282,0,0,0,0,0,99.7536,59.6117,59.4648,11.4651,33.0127,-0.068706,20,-34.0892,123.274
11,GS017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028356,0.074094,0.109293,0.154612,0.213707,0.292102,0.394743,0.537261,0.733493,1.01625,1.40514,1.93931,2.6378,3.50794,4.54323,5.67211,6.84726,7.90526,8.75437,9.24536,9.29069,8.84124,7.93046,6.6191,5.09461,3.46328,2.00358,0.735014,0.01033,0,0,0,99.7536,59.6117,59.4648,11.4651,33.0127,-0.068706,20,-34.0882,123.472
12,GS018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.170369,0.723817,1.44609,2.46039,3.72525,5.11094,6.54969,7.8597,8.90917,9.56183,9.73529,9.40165,8.61596,7.4555,6.10065,4.67474,3.34112,2.22494,1.27802,0.654892,99.7536,59.6117,59.4648,11.4651,33.0127,-0.068706,20,-34.1463,123.436
13,GS019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143516,0.892666,2.13931,4.05609,6.40654,8.9325,11.1408,12.5906,12.9335,12.1034,10.2455,7.83099,5.28784,3.11258,1.50997,0.564948,0.098238,0.010971,0,99.7536,59.6117,59.4648,11.4651,33.0127,-0.068706,20,-34.1734,123.37
14,GS020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010892,0.092332,0.625439,1.39547,2.33442,3.51062,4.76178,6.03602,7.16094,8.06617,8.64159,8.8516,8.68975,8.19841,7.42361,6.46855,5.38055,4.2752,3.19954,2.23513,1.44503,0.801479,0.395481,99.7536,59.6117,59.4648,11.4651,33.0127,-0.068706,20,-34.2181,123.461
15,GS024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118862,0.400012,0.839289,1.45931,2.26444,3.22399,4.28988,5.40487,6.46363,7.40944,8.12128,8.55979,8.66579,8.42949,7.86415,7.02634,5.96403,4.80145,3.59936,2.48189,1.52197,0.800587,0.22846,0.061715,0,99.7536,59.6117,59.4648,11.4651,33.0127,-0.068706,20,-34.2755,123.602
16,GS025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109272,0.165965,0.254636,0.318853,0.368089,0.379183,0.344177,0.255312,0.128507,0.0105,0,0,0,0,0.082307,0.55317,1.47966,2.79455,4.45602,6.30643,8.10594,9.63254,10.6034,10.8953,10.4515,9.34546,7.77389,5.98424,4.20316,2.66855,1.45792,0.668176,0.188261,0.015036,0,0,0,0,0,0,0,0,0,0,0,0,99.7536,59.6117,59.4648,11.4651,33.0127,-0.068706,20,-34.3406,123.585
17,GS026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024054,0.076047,0.080966,0.094633,0.10463,0.114106,0.119233,0.119979,0.115812,0.107113,0.09524,0.08235,0.071825,0.06698,0.071242,0.087218,0.115297,0.153905,0.197839,0.239101,0.268467,0.270223,0.245285,0.178236,0.017696,0,0,0,0,0,0.040757,0.478915,1.25014,2.38476,3.83734,5.48416,7.18622,8.67577,9.79213,10.3323,10.2312,9.50102,8.27121,6.71069,5.06929,3.49892,2.1968,1.21183,0.553307,0.143512,0.032192,0,0,0,0,0,0,0,0,0,0,99.7536,59.6117,59.4648,11.4651,33.0127,-0.068706,20,-34.3427,123.488
18,GS027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040543,0.050624,0.055675,0.063862,0.069187,0.077608,0.086126,0.094699,0.103605,0.112073,0.119738,0.125679,0.129454,0.130627,0.129632,0.127777,0.127469,0.132111,0.145441,0.171742,0.212737,0.271091,0.344814,0.432534,0.530992,0.636949,0.753147,0.881772,1.04042,1.2431,1.51994,1.89567,2.39241,3.02683,3.77529,4.63043,5.49874,6.33458,7.03286,7.5238,7.74027,7.64792,7.23369,6.54045,5.60453,4.54351,3.43488,2.39935,1.53719,0.839784,0.406651,99.7536,59.6117,59.4648,11.4651,33.0127,-0.068706,20,-34.4216,123.518
18,GS032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005293,0.05121,0.053491,0.058444,0.059448,0.063731,0.066564,0.069282,0.072285,0.075583,0.079604,0.084467,0.090399,0.097086,0.104491,0.111991,0.119245,0.125786,0.131321,0.135973,0.140057,0.144569,0.150499,0.159379,0.172278,0.189772,0.211708,0.235951,0.259907,0.278268,0.286839,0.280981,0.259314,0.225418,0.189955,0.170774,0.195479,0.29891,0.512479,0.872513,1.39781,2.09089,2.94259,3.89245,4.90883,5.87284,6.73868,7.40987,7.84026,7.99097,7.8515,7.42055,6.7388,5.82738,4.78512,3.67522,2.61182,1.70343,0.945854,0.464373,99.7536,59.6117,59.4648,11.4651,33.0127,-0.068706,20,-34.3894,123.59
19,GS030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.186894,0.914736,1.68371,2.70144,3.80811,4.94207,5.96511,6.79238,7.32074,7.50918,7.35464,6.90991,6.24454,5.49213,4.73104,4.06524,3.53657,3.15666,2.89818,2.7034,2.51724,2.27826,1.97014,1.59372,1.19061,0.815647,0.474194,0.243505,99.7536,59.6117,59.4648,11.4651,33.0127,-0.068706,20,-34.5539,123.604
20,GS034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055669,0.186378,0.618201,1.202,2.06835,3.16414,4.46634,5.86425,7.24812,8.46664,9.36727,9.84405,9.81001,9.25494,8.26131,6.92663,5.42261,3.95953,2.46529,1.34827,99.7536,59.6117,59.4648,11.4651,33.0127,-0.068706,20,-34.0905,123.553
